Time since start (ms),Queue size,Average packet loss
1001,7,0.0
2015,11,0.0
3050,11,0.017543859649122806
4104,17,0.03488372093023256
5148,14,0.047619047619047616
6179,34,0.08496732026143791
7256,28,0.12921348314606743
8360,22,0.1895734597156398
9384,12,0.18834080717488788
10456,7,0.17573221757322174
11532,1,0.16666666666666666
12609,1,0.16091954022988506
13683,1,0.1510791366906475
14754,2,0.1453287197231834
15823,1,0.13725490196078433
16890,1,0.1320754716981132
18112,1,0.12962962962962962
19339,1,0.12138728323699421
20411,2,0.11413043478260869
21494,8,0.10909090909090909
22570,1,0.10831234256926953
23653,1,0.10462287104622871
24754,1,0.1053864168618267
26013,1,0.10344827586206896
27280,3,0.10021786492374728
28557,1,0.09808102345415778
29687,1,0.09623430962343096
30811,1,0.09368635437881874
31920,1,0.09055118110236221
33036,1,0.08863198458574181
34146,1,0.08662900188323917
35415,1,0.08348457350272233
36842,1,0.08070175438596491
37956,1,0.07972270363951472
39069,1,0.07809847198641766
40182,1,0.0773109243697479
41301,1,0.07641196013289037
42411,1,0.07431340872374798
43539,1,0.07244094488188976
44659,1,0.07109737248840804
45778,3,0.07025411061285501
47235,1,0.06911764705882353
48364,4,0.0673352435530086
49491,3,0.06591865357643759
50616,1,0.06509695290858726
51743,3,0.06368563685636856
52881,9,0.0625
54020,1,0.061696658097686374
55156,1,0.0605296343001261
56462,7,0.058394160583941604
57594,1,0.05818181818181818
58746,1,0.058056872037914695
60055,1,0.05744431418522861
61200,1,0.056647398843930635
62357,1,0.055745164960182024
63503,1,0.0550561797752809
64647,1,0.05414364640883978
65795,2,0.05417118093174431
66955,7,0.053134962805526036
68115,1,0.05241090146750524
69277,1,0.05149330587023687
70451,1,0.05128205128205128
71617,1,0.05015045135406219
72780,1,0.0506454816285998
73946,1,0.050049067713444556
74949,1,0.04927536231884058
75952,1,0.04894433781190019
77118,8,0.047752808988764044
78294,1,0.048327137546468404
79321,1,0.047926267281105994
80514,1,0.04766269477543538
81524,1,0.04735883424408015
82542,1,0.04659498207885305
83560,9,0.04645048203330412
84599,1,0.04699738903394256
85636,1,0.04753673292999136
86676,3,0.046848381601362864
87894,1,0.046610169491525424
89112,1,0.04614093959731544
90247,1,0.04583333333333333
91394,4,0.04504504504504504
92462,22,0.045166402535657686
93537,10,0.046383647798742135
94621,1,0.04598597038191738
95710,1,0.04541955350269438
96983,4,0.04524886877828054
98261,1,0.045112781954887216
99370,2,0.0450849963045085
100481,1,0.0445906432748538
101773,1,0.04426705370101597
102895,10,0.044096728307254626
104019,1,0.04442877291960508
105154,1,0.04424157303370786
106298,5,0.04362880886426593
107428,1,0.043448275862068966
108775,1,0.04412763068567549
109941,1,0.04388926401080351
111107,1,0.04342017368069472
112266,1,0.04330446369087275
113636,1,0.04298941798941799
114800,1,0.04281949934123847
115967,1,0.04265091863517061
